t0;300;;Nombre Delta;1568;;Max Delta;3276
alpha;0.7;;Nombre Degradation;81;;Moyenne Exp;0.251849
nbPalier;5;;Nombre Temperature;5;;Moyenne Delta;506
nbEvalMax;6000

Temp;Delta < 0;Delta > 0 && Non;Delta > 0 && Oui
300;249;21;31
210;246;30;24
147;239;51;10
102.9;236;54;10
72.03;296;65;6






numInc;Delta;Temp;exp(-d/T);degradation
2;-1517;300;-1;-1
3;134;300;0.639757;1
4;85;300;0.753269;1
7;-85;300;-1;-1
8;100;300;0.716531;1
10;-100;300;-1;-1
13;190;300;0.530819;1
14;-1;300;-1;-1
15;143;300;0.620849;1
16;-486;300;-1;-1
17;-97;300;-1;-1
20;-108;300;-1;-1
24;-2203;300;-1;-1
25;-215;300;-1;-1
28;-203;300;-1;-1
31;572;300;0.148575;0
37;130;300;0.648344;1
38;-188;300;-1;-1
40;-201;300;-1;-1
41;899;300;0.0499533;0
44;207;300;0.501576;1
45;210;300;0.496585;1
50;-167;300;-1;-1
52;167;300;0.573116;0
54;-513;300;-1;-1
55;-601;300;-1;-1
61;-119;300;-1;-1
68;742;300;0.0843034;0
79;46;300;0.857844;1
82;-249;300;-1;-1
85;224;300;0.473944;1
92;-278;300;-1;-1
94;-75;300;-1;-1
95;-609;300;-1;-1
101;-184;300;-1;-1
103;70;300;0.79189;1
108;634;300;0.120835;0
116;1100;300;0.0255615;0
123;177;300;0.554327;1
124;-57;300;-1;-1
126;-112;300;-1;-1
127;574;300;0.147588;0
130;-8;300;-1;-1
133;160;300;0.586646;1
134;-52;300;-1;-1
136;-160;300;-1;-1
138;2183;300;0.000691487;0
139;1111;300;0.0246413;0
145;-155;300;-1;-1
147;-170;300;-1;-1
148;-100;300;-1;-1
149;1018;300;0.0335965;0
151;190;300;0.530819;1
153;-1;300;-1;-1
157;522;300;0.17552;0
159;-175;300;-1;-1
162;-74;300;-1;-1
167;99;300;0.718924;1
168;-99;300;-1;-1
169;42;300;0.869358;1
172;760;300;0.0793939;0
179;-42;300;-1;-1
181;49;300;0.849308;1
185;634;300;0.120835;1
188;255;300;0.427415;0
189;396;300;0.267135;0
190;-49;300;-1;-1
191;100;300;0.716531;1
192;1437;300;0.00831246;0
195;510;300;0.182684;0
198;-512;300;-1;-1
207;54;300;0.83527;1
